fips,province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active
50,Vermont,US,31-03-2020 18:31,44.0459,-72.7107,304.00,12.00,0.00,0.00
51,Virginia,US,31-03-2020 18:31,37.7693,-78.1700,1249.00,15.00,0.00,0.00
53,Washington,US,31-03-2020 18:31,47.4009,-121.4905,5239.00,222.00,0.00,0.00
54,West Virginia,US,31-03-2020 18:31,38.4912,-80.9545,145.00,1.00,0.00,0.00
55,Wisconsin,US,31-03-2020 18:31,44.2685,-89.6165,1294.00,24.00,0.00,0.00
56,Wyoming,US,31-03-2020 18:31,42.7560,-107.3025,109.00,0.00,0.00,0.00
60,American Samoa,US,,-14.2710,-170.1322,0.00,0.00,0.00,0.00
69,Northern Mariana Islands,US,,15.0979,145.6739,0.00,0.00,0.00,0.00
,Alberta,Canada,,53.9333,-116.5765,690.00,8.00,0.00,0.00
,Anguilla,United Kingdom,,18.2206,-63.0686,2.00,0.00,0.00,2.00
,Anhui,China,,31.8257,117.2264,990.00,6.00,984.00,0.00
,Aruba,Netherlands,,12.5211,-69.9683,55.00,0.00,1.00,54.00
,Australian Capital Territory,Australia,,-35.4735,149.0124,80.00,1.00,3.00,76.00
,Beijing,China,,40.1824,116.4142,580.00,8.00,418.00,154.00
,Bermuda,United Kingdom,,32.3078,-64.7505,27.00,0.00,10.00,17.00
,British Columbia,Canada,,53.7267,-127.6476,970.00,19.00,0.00,0.00
,British Virgin Islands,United Kingdom,,18.4207,-64.6400,3.00,0.00,0.00,3.00
,Cayman Islands,United Kingdom,,19.3133,-81.2546,12.00,1.00,0.00,11.00
,Channel Islands,United Kingdom,,49.3723,-2.3644,141.00,3.00,0.00,138.00
,Chongqing,China,,30.0572,107.8740,579.00,6.00,570.00,3.00
,Curacao,Netherlands,,12.1696,-68.9900,11.00,1.00,2.00,8.00
,Faroe Islands,Denmark,,61.8926,-6.9118,169.00,0.00,74.00,95.00
,French Guiana,France,,4.0000,-53.0000,43.00,0.00,6.00,37.00
,French Polynesia,France,,-17.6797,149.4068,36.00,0.00,0.00,36.00
,Fujian,China,,26.0789,117.9874,343.00,1.00,295.00,47.00
,Gansu,China,,37.8099,101.0583,138.00,2.00,125.00,11.00
,Gibraltar,United Kingdom,,36.1408,-5.3536,69.00,0.00,34.00,35.00
,Greenland,Denmark,,71.7069,-42.6043,10.00,0.00,2.00,8.00
,Guadeloupe,France,,16.2650,-61.5510,106.00,4.00,17.00,85.00
,Guangdong,China,,23.3417,113.4244,1494.00,8.00,1356.00,130.00
,Guangxi,China,,23.8298,108.7881,254.00,2.00,250.00,2.00
,Guizhou,China,,26.8154,106.8748,146.00,2.00,144.00,0.00
,Hainan,China,,19.1959,109.7453,168.00,6.00,168.00,-6.00
,Hebei,China,,39.5490,116.1306,321.00,6.00,310.00,5.00
,Heilongjiang,China,,47.8620,127.7615,484.00,13.00,469.00,2.00
,Henan,China,,33.8820,113.6140,1276.00,22.00,1251.00,3.00
,Hong Kong,China,,22.3000,114.2000,714.00,4.00,128.00,582.00
,Hubei,China,,30.9756,112.2707,67801.00,3187.00,63153.00,1461.00
,Hunan,China,,27.6104,111.7088,1018.00,4.00,1014.00,0.00
,Inner Mongolia,China,,44.0935,113.9448,107.00,1.00,74.00,32.00
,Isle of Man,United Kingdom,,54.2361,-4.5481,60.00,0.00,0.00,60.00
,Jiangsu,China,,32.9711,119.4550,646.00,0.00,631.00,15.00
,Jiangxi,China,,27.6140,115.7221,937.00,1.00,935.00,1.00
,Jilin,China,,43.6661,126.1923,98.00,1.00,92.00,5.00
,Liaoning,China,,41.2956,122.6085,139.00,2.00,124.00,13.00
,Macau,China,,22.1667,113.5500,41.00,0.00,10.00,31.00
,Manitoba,Canada,,53.7609,-98.8139,96.00,1.00,0.00,0.00
,Martinique,France,,14.6415,-61.0242,128.00,3.00,27.00,98.00
,Mayotte,France,,-12.8275,45.1662,94.00,1.00,10.00,83.00
,Montserrat,United Kingdom,,16.7425,-62.1874,5.00,0.00,0.00,5.00
,New Brunswick,Canada,,46.5653,-66.4619,68.00,0.00,0.00,0.00
,New Caledonia,France,,-20.9043,165.6180,16.00,0.00,0.00,16.00
,New South Wales,Australia,,-33.8688,151.2093,2032.00,8.00,4.00,2020.00
,Newfoundland and Labrador,Canada,,53.1355,-57.6604,148.00,1.00,0.00,0.00
,Ningxia,China,,37.2692,106.1655,75.00,0.00,75.00,0.00
,Northern Territory,Australia,,-12.4634,130.8456,17.00,0.00,0.00,17.00
,Northwest Territories,Canada,,64.8255,-124.8457,1.00,0.00,0.00,0.00
,Nova Scotia,Canada,,44.6820,-63.7443,127.00,0.00,0.00,0.00
,Ontario,Canada,,51.2538,-85.3232,1706.00,32.00,0.00,0.00
,Prince Edward Island,Canada,,46.5107,-63.4168,18.00,0.00,0.00,0.00
,Qinghai,China,,35.7452,95.9956,18.00,0.00,18.00,0.00
,Quebec,Canada,,52.9399,-73.5491,4162.00,31.00,0.00,0.00
,Queensland,Australia,,-27.4698,153.0251,743.00,2.00,8.00,733.00
,Recovered,Canada,,0.0000,0.0000,0.00,0.00,1020.00,0.00
,Recovered,US,,0.0000,0.0000,0.00,0.00,6038.00,0.00
,Reunion,France,,-21.1151,55.5364,247.00,0.00,1.00,246.00
,Saint Barthelemy,France,,17.9000,-62.8333,6.00,0.00,1.00,5.00
,Saskatchewan,Canada,,52.9399,-106.4509,176.00,2.00,0.00,0.00
,Shaanxi,China,,35.1917,108.8701,253.00,3.00,242.00,8.00
,Shandong,China,,36.3427,118.1498,774.00,7.00,753.00,14.00
,Shanghai,China,,31.2020,121.4491,509.00,5.00,341.00,163.00
,Shanxi,China,,37.5777,112.2922,136.00,0.00,133.00,3.00
,Sichuan,China,,30.6171,102.7103,550.00,3.00,536.00,11.00
,Sint Maarten,Netherlands,,18.0425,-63.0548,6.00,0.00,0.00,6.00
,South Australia,Australia,,-34.9285,138.6007,337.00,0.00,6.00,331.00
,St Martin,France,,18.0708,-63.0501,15.00,1.00,2.00,12.00
,Tasmania,Australia,,-42.8821,147.3272,69.00,1.00,5.00,63.00
,Tianjin,China,,39.3054,117.3230,174.00,3.00,135.00,36.00
,Tibet,China,,31.6927,88.0924,1.00,0.00,1.00,0.00
,Turks and Caicos Islands,United Kingdom,,21.6940,-71.7979,5.00,0.00,0.00,5.00
,Victoria,Australia,,-37.8136,144.9631,917.00,4.00,291.00,622.00
,Western Australia,Australia,,-31.9505,115.8605,364.00,2.00,41.00,321.00
,Xinjiang,China,,41.1129,85.2401,76.00,3.00,73.00,0.00
,Yukon,Canada,,64.2823,-135.0000,5.00,0.00,0.00,0.00
,Yunnan,China,,24.9740,101.4870,181.00,2.00,172.00,7.00
,Zhejiang,China,,29.1832,120.0934,1257.00,1.00,1226.00,30.00
,Diamond Princess,Canada,,0.0000,0.0000,0.00,1.00,0.00,0.00
,Grand Princess,Canada,,0.0000,0.0000,13.00,0.00,0.00,0.00
